location_id,address_1,address_2,city,state,zip,county,location_source_value
1411,,,Riverside,NJ,08075,Burlington County,Lat: 40.03; Long: -74.95
1412,,,Riverton,NJ,08076,Burlington County,Lat: 40.01; Long: -75.01
1413,,,Riverton,NJ,08077,Burlington County,Lat: 40.01; Long: -75.01
1414,,,Runnemede,NJ,08078,Camden County,Lat: 39.85; Long: -75.07
1415,,,Salem,NJ,08079,Salem County,Lat: 39.56; Long: -75.47
1416,,,Sewell,NJ,08080,Gloucester County,Lat: 39.75; Long: -75.09
1417,,,Sicklerville,NJ,08081,Camden County,Lat: 39.73; Long: -74.98
1418,,,Somerdale,NJ,08083,Camden County,Lat: 39.84; Long: -75.02
1419,,,Stratford,NJ,08084,Camden County,Lat: 39.83; Long: -75.02
1420,,,Swedesboro,NJ,08085,Gloucester County,Lat: 39.74; Long: -75.31
1421,,,Thorofare,NJ,08086,Gloucester County,Lat: 39.85; Long: -75.18
1422,,,Tuckerton,NJ,08087,Ocean County,Lat: 39.59; Long: -74.32
1423,,,Vincentown,NJ,08088,Burlington County,Lat: 39.8; Long: -74.62
1424,,,Waterford Works,NJ,08089,Camden County,Lat: 39.71; Long: -74.81
1425,,,Wenonah,NJ,08090,Gloucester County,Lat: 39.79; Long: -75.14
1426,,,West Berlin,NJ,08091,Camden County,Lat: 39.81; Long: -74.92
1427,,,West Creek,NJ,08092,Ocean County,Lat: 39.65; Long: -74.28
1428,,,Westville,NJ,08093,Gloucester County,Lat: 39.86; Long: -75.13
1429,,,Williamstown,NJ,08094,Gloucester County,Lat: 39.68; Long: -74.98
1430,,,Winslow,NJ,08095,Camden County,Lat: 39.65; Long: -74.86
1431,,,Woodbury,NJ,08096,Gloucester County,Lat: 39.83; Long: -75.15
1432,,,Woodbury Heights,NJ,08097,Gloucester County,Lat: 39.81; Long: -75.15
1433,,,Woodstown,NJ,08098,Salem County,Lat: 39.65; Long: -75.32
1434,,,Bellmawr,NJ,08099,Camden County,Lat: 39.86; Long: -75.09
1435,,,Camden,NJ,08101,Camden County,Lat: 39.93; Long: -75.1
1436,,,Camden,NJ,08102,Camden County,Lat: 39.95; Long: -75.12
1437,,,Camden,NJ,08103,Camden County,Lat: 39.94; Long: -75.11
1438,,,Camden,NJ,08104,Camden County,Lat: 39.92; Long: -75.11
1439,,,Camden,NJ,08105,Camden County,Lat: 39.95; Long: -75.09
1440,,,Audubon,NJ,08106,Camden County,Lat: 39.89; Long: -75.07
1441,,,Oaklyn,NJ,08107,Camden County,Lat: 39.9; Long: -75.08
1442,,,Collingswood,NJ,08108,Camden County,Lat: 39.91; Long: -75.07
1443,,,Merchantville,NJ,08109,Camden County,Lat: 39.95; Long: -75.05
1444,,,Pennsauken,NJ,08110,Camden County,Lat: 39.97; Long: -75.06
1445,,,Absecon,NJ,08201,Atlantic County,Lat: 39.42; Long: -74.49
1446,,,Avalon,NJ,08202,Cape May County,Lat: 39.09; Long: -74.73
1447,,,Brigantine,NJ,08203,Atlantic County,Lat: 39.41; Long: -74.36
1448,,,Cape May,NJ,08204,Cape May County,Lat: 38.94; Long: -74.9
1449,,,Absecon,NJ,08205,Atlantic County,Lat: 39.48; Long: -74.47
1450,,,Cape May Court House,NJ,08210,Cape May County,Lat: 39.07; Long: -74.82
1451,,,Cape May Point,NJ,08212,Cape May County,Lat: 38.93; Long: -74.96
1452,,,Cologne,NJ,08213,Atlantic County,Lat: 39.51; Long: -74.56
1453,,,Dennisville,NJ,08214,Cape May County,Lat: 39.22; Long: -74.85
1454,,,Egg Harbor City,NJ,08215,Atlantic County,Lat: 39.56; Long: -74.59
1455,,,Elwood,NJ,08217,Atlantic County,Lat: 39.58; Long: -74.72
1456,,,Goshen,NJ,08218,Cape May County,Lat: 39.11; Long: -74.86
1457,,,Green Creek,NJ,08219,Cape May County,Lat: 39.04; Long: -74.91
1458,,,Leeds Point,NJ,08220,Atlantic County,Lat: 39.49; Long: -74.43
1459,,,Linwood,NJ,08221,Atlantic County,Lat: 39.34; Long: -74.57
1460,,,Marmora,NJ,08223,Cape May County,Lat: 39.26; Long: -74.66
1461,,,New Gretna,NJ,08224,Burlington County,Lat: 39.6; Long: -74.47
1462,,,Northfield,NJ,08225,Atlantic County,Lat: 39.37; Long: -74.55
1463,,,Ocean City,NJ,08226,Cape May County,Lat: 39.26; Long: -74.6
1464,,,Ocean View,NJ,08230,Cape May County,Lat: 39.2; Long: -74.71
1465,,,Oceanville,NJ,08231,Atlantic County,Lat: 39.48; Long: -74.47
1466,,,Pleasantville,NJ,08232,Atlantic County,Lat: 39.39; Long: -74.51
1467,,,Egg Harbor Township,NJ,08234,Atlantic County,Lat: 39.41; Long: -74.58
1468,,,Pomona,NJ,08240,Atlantic County,Lat: 39.49; Long: -74.53
1469,,,Port Republic,NJ,08241,Atlantic County,Lat: 39.53; Long: -74.48
1470,,,Rio Grande,NJ,08242,Cape May County,Lat: 39.02; Long: -74.87
1471,,,Sea Isle City,NJ,08243,Cape May County,Lat: 39.15; Long: -74.69
1472,,,Somers Point,NJ,08244,Atlantic County,Lat: 39.31; Long: -74.6
1473,,,South Dennis,NJ,08245,Cape May County,Lat: 39.18; Long: -74.82
1474,,,South Seaville,NJ,08246,Cape May County,Lat: 39.18; Long: -74.77
1475,,,Stone Harbor,NJ,08247,Cape May County,Lat: 39.04; Long: -74.76
1476,,,Strathmere,NJ,08248,Cape May County,Lat: 39.19; Long: -74.66
1477,,,Tuckahoe,NJ,08250,Cape May County,Lat: 39.28; Long: -74.78
1478,,,Villas,NJ,08251,Cape May County,Lat: 39.01; Long: -74.93
1479,,,Whitesboro,NJ,08252,Cape May County,Lat: 39.04; Long: -74.86
1480,,,Wildwood,NJ,08260,Cape May County,Lat: 38.98; Long: -74.82
1481,,,Woodbine,NJ,08270,Cape May County,Lat: 39.22; Long: -74.8
1482,,,Bridgeton,NJ,08302,Cumberland County,Lat: 39.42; Long: -75.22
1483,,,Buena,NJ,08310,Atlantic County,Lat: 39.53; Long: -74.9
1484,,,Cedarville,NJ,08311,Cumberland County,Lat: 39.32; Long: -75.2
1485,,,Clayton,NJ,08312,Gloucester County,Lat: 39.65; Long: -75.08
1486,,,Deerfield Street,NJ,08313,Cumberland County,Lat: 39.49; Long: -75.21
1487,,,Delmont,NJ,08314,Cumberland County,Lat: 39.22; Long: -74.94
1488,,,Dividing Creek,NJ,08315,Cumberland County,Lat: 39.22; Long: -75.13
1489,,,Dorchester,NJ,08316,Cumberland County,Lat: 39.27; Long: -74.95
1490,,,Dorothy,NJ,08317,Atlantic County,Lat: 39.4; Long: -74.82
1491,,,Elmer,NJ,08318,Salem County,Lat: 39.59; Long: -75.17
1492,,,Estell Manor,NJ,08319,Atlantic County,Lat: 39.37; Long: -74.81
1493,,,Fairton,NJ,08320,Cumberland County,Lat: 39.39; Long: -75.16
1494,,,Fortescue,NJ,08321,Cumberland County,Lat: 39.22; Long: -75.13
1495,,,Franklinville,NJ,08322,Gloucester County,Lat: 39.61; Long: -75.02
1496,,,Greenwich,NJ,08323,Cumberland County,Lat: 39.39; Long: -75.36
1497,,,Heislerville,NJ,08324,Cumberland County,Lat: 39.24; Long: -74.99
1498,,,Landisville,NJ,08326,Atlantic County,Lat: 39.52; Long: -74.93
1499,,,Leesburg,NJ,08327,Cumberland County,Lat: 39.25; Long: -74.96
1500,,,Malaga,NJ,08328,Gloucester County,Lat: 39.57; Long: -75.06
1501,,,Mauricetown,NJ,08329,Cumberland County,Lat: 39.29; Long: -75.01
1502,,,Mays Landing,NJ,08330,Atlantic County,Lat: 39.45; Long: -74.72
1503,,,Millville,NJ,08332,Cumberland County,Lat: 39.39; Long: -75.05
1504,,,Milmay,NJ,08340,Atlantic County,Lat: 39.44; Long: -74.86
1505,,,Minotola,NJ,08341,Atlantic County,Lat: 39.52; Long: -74.96
1506,,,Mizpah,NJ,08342,Atlantic County,Lat: 39.46; Long: -74.72
1507,,,Monroeville,NJ,08343,Gloucester County,Lat: 39.64; Long: -75.16
1508,,,Newfield,NJ,08344,Gloucester County,Lat: 39.54; Long: -75.01
1509,,,Newport,NJ,08345,Cumberland County,Lat: 39.28; Long: -75.16
1510,,,Newtonville,NJ,08346,Atlantic County,Lat: 39.56; Long: -74.85
1511,,,Norma,NJ,08347,Salem County,Lat: 39.54; Long: -75.13
1512,,,Port Elizabeth,NJ,08348,Cumberland County,Lat: 39.31; Long: -74.97
1513,,,Port Norris,NJ,08349,Cumberland County,Lat: 39.24; Long: -75.04
1514,,,Richland,NJ,08350,Atlantic County,Lat: 39.49; Long: -74.88
1515,,,Rosenhayn,NJ,08352,Cumberland County,Lat: 39.48; Long: -75.13
1516,,,Shiloh,NJ,08353,Cumberland County,Lat: 39.46; Long: -75.29
1517,,,Vineland,NJ,08360,Cumberland County,Lat: 39.5; Long: -75.01
1518,,,Vineland,NJ,08361,Cumberland County,Lat: 39.46; Long: -74.99
1519,,,Vineland,NJ,08362,Cumberland County,Lat: 39.46; Long: -74.99
1520,,,Atlantic City,NJ,08401,Atlantic County,Lat: 39.36; Long: -74.42
1521,,,Margate City,NJ,08402,Atlantic County,Lat: 39.33; Long: -74.5
1522,,,Longport,NJ,08403,Atlantic County,Lat: 39.32; Long: -74.54
1523,,,Atlantic City,NJ,08404,Atlantic County,Lat: 39.36; Long: -74.42
1524,,,Atlantic City,NJ,08405,Atlantic County,Lat: 39.36; Long: -74.42
1525,,,Ventnor City,NJ,08406,Atlantic County,Lat: 39.34; Long: -74.48
1526,,,Allentown,NJ,08501,Monmouth County,Lat: 40.17; Long: -74.58
1527,,,Belle Mead,NJ,08502,Somerset County,Lat: 40.46; Long: -74.64
1528,,,Blawenburg,NJ,08504,Somerset County,Lat: 40.4; Long: -74.7
1529,,,Bordentown,NJ,08505,Burlington County,Lat: 40.14; Long: -74.7
1530,,,Millstone Township,NJ,08510,Monmouth County,Lat: 40.19; Long: -74.42
1531,,,Cookstown,NJ,08511,Burlington County,Lat: 40.04; Long: -74.55
1532,,,Cranbury,NJ,08512,Mercer County,Lat: 40.31; Long: -74.51
1533,,,Cream Ridge,NJ,08514,Monmouth County,Lat: 40.14; Long: -74.49
1534,,,Chesterfield,NJ,08515,Burlington County,Lat: 40.15; Long: -74.66
1535,,,Florence,NJ,08518,Burlington County,Lat: 40.11; Long: -74.8
1536,,,Hightstown,NJ,08520,Mercer County,Lat: 40.26; Long: -74.52
1537,,,Hopewell,NJ,08525,Mercer County,Lat: 40.38; Long: -74.76
1538,,,Imlaystown,NJ,08526,Monmouth County,Lat: 40.16; Long: -74.49
2313,,,Sandusky,NY,14133,Cattaraugus County,Lat: 42.49; Long: -78.38
2314,,,Sardinia,NY,14134,Erie County,Lat: 42.53; Long: -78.52
2315,,,Sheridan,NY,14135,Chautauqua County,Lat: 42.49; Long: -79.24
2316,,,Silver Creek,NY,14136,Chautauqua County,Lat: 42.54; Long: -79.16
2317,,,South Dayton,NY,14138,Cattaraugus County,Lat: 42.36; Long: -79.05
2318,,,South Wales,NY,14139,Erie County,Lat: 42.7; Long: -78.53
2319,,,Spring Brook,NY,14140,Erie County,Lat: 42.83; Long: -78.63
2320,,,Springville,NY,14141,Erie County,Lat: 42.5; Long: -78.67
2321,,,Stafford,NY,14143,Genesee County,Lat: 42.98; Long: -78.08
2322,,,Stella Niagara,NY,14144,Niagara County,Lat: 43.17; Long: -78.99
2323,,,Strykersville,NY,14145,Wyoming County,Lat: 42.73; Long: -78.42
2324,,,Tonawanda,NY,14150,Erie County,Lat: 43; Long: -78.87
2325,,,Tonawanda,NY,14151,Erie County,Lat: 43; Long: -78.87
2326,,,Van Buren Point,NY,14166,Chautauqua County,Lat: 42.45; Long: -79.42
2327,,,Varysburg,NY,14167,Wyoming County,Lat: 42.73; Long: -78.31
2328,,,Versailles,NY,14168,Cattaraugus County,Lat: 42.52; Long: -78.99
2329,,,Wales Center,NY,14169,Erie County,Lat: 42.76; Long: -78.53
2330,,,West Falls,NY,14170,Erie County,Lat: 42.7; Long: -78.67
2331,,,West Valley,NY,14171,Cattaraugus County,Lat: 42.43; Long: -78.62
2332,,,Wilson,NY,14172,Niagara County,Lat: 43.31; Long: -78.82
2333,,,Yorkshire,NY,14173,Cattaraugus County,Lat: 42.53; Long: -78.47
2334,,,Youngstown,NY,14174,Niagara County,Lat: 43.24; Long: -79.04
2335,,,Buffalo,NY,14201,Erie County,Lat: 42.9; Long: -78.89
2336,,,Buffalo,NY,14202,Erie County,Lat: 42.88; Long: -78.88
2337,,,Buffalo,NY,14203,Erie County,Lat: 42.86; Long: -78.86
2338,,,Buffalo,NY,14204,Erie County,Lat: 42.88; Long: -78.86
2339,,,Buffalo,NY,14205,Erie County,Lat: 42.88; Long: -78.85
2340,,,Buffalo,NY,14206,Erie County,Lat: 42.88; Long: -78.81
2341,,,Buffalo,NY,14207,Erie County,Lat: 42.95; Long: -78.9
2342,,,Buffalo,NY,14208,Erie County,Lat: 42.92; Long: -78.85
2343,,,Buffalo,NY,14209,Erie County,Lat: 42.91; Long: -78.87
2344,,,Buffalo,NY,14210,Erie County,Lat: 42.88; Long: -78.85
2345,,,Buffalo,NY,14211,Erie County,Lat: 42.91; Long: -78.82
2346,,,Buffalo,NY,14212,Erie County,Lat: 42.9; Long: -78.82
2347,,,Buffalo,NY,14213,Erie County,Lat: 42.92; Long: -78.89
2348,,,Buffalo,NY,14214,Erie County,Lat: 42.94; Long: -78.84
2349,,,Buffalo,NY,14215,Erie County,Lat: 42.94; Long: -78.81
2350,,,Buffalo,NY,14216,Erie County,Lat: 42.95; Long: -78.86
2351,,,Buffalo,NY,14217,Erie County,Lat: 42.97; Long: -78.88
2352,,,Buffalo,NY,14218,Erie County,Lat: 42.82; Long: -78.83
2353,,,Buffalo,NY,14219,Erie County,Lat: 42.79; Long: -78.83
2354,,,Buffalo,NY,14220,Erie County,Lat: 42.85; Long: -78.82
2355,,,Buffalo,NY,14221,Erie County,Lat: 42.98; Long: -78.72
2356,,,Buffalo,NY,14222,Erie County,Lat: 42.92; Long: -78.88
2357,,,Buffalo,NY,14223,Erie County,Lat: 42.97; Long: -78.85
2358,,,Buffalo,NY,14224,Erie County,Lat: 42.84; Long: -78.75
2359,,,Buffalo,NY,14225,Erie County,Lat: 42.93; Long: -78.75
2360,,,Buffalo,NY,14226,Erie County,Lat: 42.97; Long: -78.8
2361,,,Buffalo,NY,14227,Erie County,Lat: 42.89; Long: -78.73
2362,,,Buffalo,NY,14228,Erie County,Lat: 43.04; Long: -78.78
2363,,,Buffalo,NY,14231,Erie County,Lat: 42.88; Long: -78.85
2364,,,Buffalo,NY,14233,Erie County,Lat: 42.88; Long: -78.85
2365,,,Buffalo,NY,14240,Erie County,Lat: 42.88; Long: -78.85
2366,,,Buffalo,NY,14241,Erie County,Lat: 42.88; Long: -78.85
2367,,,Buffalo,NY,14260,Erie County,Lat: 43; Long: -78.79
2368,,,Buffalo,NY,14261,Erie County,Lat: 43.01; Long: -78.79
2369,,,Buffalo,NY,14263,Erie County,Lat: 42.88; Long: -78.85
2370,,,Buffalo,NY,14264,Erie County,Lat: 42.88; Long: -78.85
2371,,,Buffalo,NY,14265,Erie County,Lat: 42.88; Long: -78.85
2372,,,Buffalo,NY,14267,Erie County,Lat: 42.88; Long: -78.85
2373,,,Buffalo,NY,14269,Erie County,Lat: 42.88; Long: -78.85
2374,,,Buffalo,NY,14270,Erie County,Lat: 42.88; Long: -78.85
2375,,,Buffalo,NY,14272,Erie County,Lat: 42.88; Long: -78.85
2376,,,Buffalo,NY,14273,Erie County,Lat: 42.88; Long: -78.85
2377,,,Buffalo,NY,14276,Erie County,Lat: 42.88; Long: -78.85
2378,,,Buffalo,NY,14280,Erie County,Lat: 42.88; Long: -78.85
2379,,,Niagara Falls,NY,14301,Niagara County,Lat: 43.1; Long: -79.04
2380,,,Niagara Falls,NY,14302,Niagara County,Lat: 43.09; Long: -79.05
2381,,,Niagara Falls,NY,14303,Niagara County,Lat: 43.09; Long: -79.01
2382,,,Niagara Falls,NY,14304,Niagara County,Lat: 43.1; Long: -78.95
2383,,,Niagara Falls,NY,14305,Niagara County,Lat: 43.12; Long: -79.02
2384,,,Adams Basin,NY,14410,Monroe County,Lat: 43.19; Long: -77.86
2385,,,Albion,NY,14411,Orleans County,Lat: 43.24; Long: -78.18
2386,,,Alton,NY,14413,Wayne County,Lat: 43.22; Long: -76.97
2387,,,Avon,NY,14414,Livingston County,Lat: 42.91; Long: -77.74
2388,,,Bellona,NY,14415,Yates County,Lat: 42.76; Long: -77.02
2389,,,Bergen,NY,14416,Genesee County,Lat: 43.08; Long: -77.94
2390,,,Branchport,NY,14418,Yates County,Lat: 42.59; Long: -77.15
2391,,,Brockport,NY,14420,Monroe County,Lat: 43.21; Long: -77.94
2392,,,Byron,NY,14422,Genesee County,Lat: 43.07; Long: -78.06
2393,,,Caledonia,NY,14423,Livingston County,Lat: 42.97; Long: -77.85
2394,,,Canandaigua,NY,14424,Ontario County,Lat: 42.88; Long: -77.28
2395,,,Farmington,NY,14425,Ontario County,Lat: 42.95; Long: -77.32
2396,,,Castile,NY,14427,Wyoming County,Lat: 42.63; Long: -78.05
2397,,,Churchville,NY,14428,Monroe County,Lat: 43.1; Long: -77.88
2398,,,Clarendon,NY,14429,Orleans County,Lat: 43.17; Long: -78.05
2399,,,Clarkson,NY,14430,Monroe County,Lat: 43.21; Long: -77.93
2400,,,Clifton Springs,NY,14432,Ontario County,Lat: 42.95; Long: -77.13
2401,,,Clyde,NY,14433,Wayne County,Lat: 43.08; Long: -76.87
2402,,,Conesus,NY,14435,Livingston County,Lat: 42.71; Long: -77.66
2403,,,Dansville,NY,14437,Livingston County,Lat: 42.56; Long: -77.69
2404,,,Dresden,NY,14441,Yates County,Lat: 42.69; Long: -76.96
2405,,,East Bloomfield,NY,14443,Ontario County,Lat: 42.89; Long: -77.43
2406,,,East Rochester,NY,14445,Monroe County,Lat: 43.11; Long: -77.48
2407,,,East Williamson,NY,14449,Wayne County,Lat: 43.24; Long: -77.19
2408,,,Fairport,NY,14450,Monroe County,Lat: 43.1; Long: -77.44
2409,,,Fancher,NY,14452,Orleans County,Lat: 43.25; Long: -78.05
2410,,,Fishers,NY,14453,Ontario County,Lat: 43.02; Long: -77.47
2411,,,Geneseo,NY,14454,Livingston County,Lat: 42.79; Long: -77.81
2412,,,Geneva,NY,14456,Ontario County,Lat: 42.85; Long: -77
2413,,,Gorham,NY,14461,Ontario County,Lat: 42.8; Long: -77.2
2414,,,Groveland,NY,14462,Livingston County,Lat: 42.68; Long: -77.74
2415,,,Hall,NY,14463,Ontario County,Lat: 42.8; Long: -77.07
2416,,,Hamlin,NY,14464,Monroe County,Lat: 43.32; Long: -77.93
2417,,,Hemlock,NY,14466,Ontario County,Lat: 42.77; Long: -77.58
2418,,,Henrietta,NY,14467,Monroe County,Lat: 43.04; Long: -77.61
2419,,,Hilton,NY,14468,Monroe County,Lat: 43.28; Long: -77.79
2420,,,Bloomfield,NY,14469,Ontario County,Lat: 42.87; Long: -77.46
2421,,,Holley,NY,14470,Orleans County,Lat: 43.22; Long: -78.02
2422,,,Honeoye,NY,14471,Ontario County,Lat: 42.75; Long: -77.49
2423,,,Honeoye Falls,NY,14472,Monroe County,Lat: 42.95; Long: -77.59
2424,,,Ionia,NY,14475,Ontario County,Lat: 42.94; Long: -77.5
2425,,,Kendall,NY,14476,Orleans County,Lat: 43.32; Long: -78.03
2426,,,Kent,NY,14477,Orleans County,Lat: 43.33; Long: -78.13
2427,,,Keuka Park,NY,14478,Yates County,Lat: 42.58; Long: -77.13
2428,,,Knowlesville,NY,14479,Orleans County,Lat: 43.24; Long: -78.31
2429,,,Lakeville,NY,14480,Livingston County,Lat: 42.84; Long: -77.71
2430,,,Leicester,NY,14481,Livingston County,Lat: 42.77; Long: -77.89
2431,,,Le Roy,NY,14482,Genesee County,Lat: 42.97; Long: -77.99
2432,,,Lima,NY,14485,Livingston County,Lat: 42.9; Long: -77.61
2433,,,Linwood,NY,14486,Livingston County,Lat: 42.9; Long: -77.91
2434,,,Livonia,NY,14487,Livingston County,Lat: 42.82; Long: -77.66
2435,,,Livonia Center,NY,14488,Livingston County,Lat: 42.81; Long: -77.65
2436,,,Lyons,NY,14489,Wayne County,Lat: 43.06; Long: -76.99
2437,,,Macedon,NY,14502,Wayne County,Lat: 43.06; Long: -77.3
2438,,,Manchester,NY,14504,Ontario County,Lat: 42.97; Long: -77.23
2439,,,Marion,NY,14505,Wayne County,Lat: 43.16; Long: -77.17
2440,,,Mendon,NY,14506,Monroe County,Lat: 43.01; Long: -77.52
2441,,,Middlesex,NY,14507,Yates County,Lat: 42.7; Long: -77.27
2442,,,Morton,NY,14508,Orleans County,Lat: 43.32; Long: -78.05
2443,,,Mount Morris,NY,14510,Livingston County,Lat: 42.72; Long: -77.87
2444,,,Mumford,NY,14511,Monroe County,Lat: 42.99; Long: -77.86
2445,,,Naples,NY,14512,Ontario County,Lat: 42.61; Long: -77.4
2446,,,Newark,NY,14513,Wayne County,Lat: 43.04; Long: -77.09
2447,,,North Chili,NY,14514,Monroe County,Lat: 43.11; Long: -77.81
2448,,,North Greece,NY,14515,Monroe County,Lat: 43.25; Long: -77.73
2449,,,North Rose,NY,14516,Wayne County,Lat: 43.2; Long: -76.91
2450,,,Nunda,NY,14517,Livingston County,Lat: 42.58; Long: -77.93
2451,,,Oaks Corners,NY,14518,Ontario County,Lat: 42.95; Long: -77.04
2452,,,Ontario,NY,14519,Wayne County,Lat: 43.22; Long: -77.31
2453,,,Ontario Center,NY,14520,Wayne County,Lat: 43.24; Long: -77.31
2454,,,Ovid,NY,14521,Seneca County,Lat: 42.67; Long: -76.82
2455,,,Palmyra,NY,14522,Wayne County,Lat: 43.06; Long: -77.23
2456,,,Pavilion,NY,14525,Genesee County,Lat: 42.87; Long: -77.99
2457,,,Penfield,NY,14526,Monroe County,Lat: 43.15; Long: -77.44
2458,,,Penn Yan,NY,14527,Yates County,Lat: 42.66; Long: -77.05
2459,,,Perkinsville,NY,14529,Steuben County,Lat: 42.54; Long: -77.64
2460,,,Perry,NY,14530,Wyoming County,Lat: 42.71; Long: -78
2461,,,Phelps,NY,14532,Ontario County,Lat: 42.95; Long: -77.06
2462,,,Piffard,NY,14533,Livingston County,Lat: 42.84; Long: -77.88
2463,,,Pittsford,NY,14534,Monroe County,Lat: 43.09; Long: -77.51
2464,,,Portageville,NY,14536,Wyoming County,Lat: 42.55; Long: -78.09
2465,,,Port Gibson,NY,14537,Ontario County,Lat: 43.04; Long: -77.16
2466,,,Pultneyville,NY,14538,Wayne County,Lat: 43.24; Long: -77.19
2467,,,Retsof,NY,14539,Livingston County,Lat: 42.83; Long: -77.88
2468,,,Romulus,NY,14541,Seneca County,Lat: 42.75; Long: -76.83
2469,,,Rose,NY,14542,Wayne County,Lat: 43.15; Long: -76.88
2470,,,Rush,NY,14543,Monroe County,Lat: 42.98; Long: -77.67
2471,,,Rushville,NY,14544,Yates County,Lat: 42.76; Long: -77.22
2472,,,Scottsburg,NY,14545,Livingston County,Lat: 42.66; Long: -77.71
2473,,,Scottsville,NY,14546,Monroe County,Lat: 43.02; Long: -77.75
2474,,,Seneca Castle,NY,14547,Ontario County,Lat: 42.83; Long: -77.07
2475,,,Shortsville,NY,14548,Ontario County,Lat: 42.95; Long: -77.22
2476,,,Silver Lake,NY,14549,Wyoming County,Lat: 42.7; Long: -78.02
2477,,,Silver Springs,NY,14550,Wyoming County,Lat: 42.66; Long: -78.08
2478,,,Sodus,NY,14551,Wayne County,Lat: 43.23; Long: -77.06
2479,,,Sodus Point,NY,14555,Wayne County,Lat: 43.26; Long: -76.99
2480,,,Sonyea,NY,14556,Livingston County,Lat: 42.68; Long: -77.83
2481,,,South Byron,NY,14557,Genesee County,Lat: 43.04; Long: -78.06
2482,,,South Lima,NY,14558,Livingston County,Lat: 42.81; Long: -77.65
2483,,,Spencerport,NY,14559,Monroe County,Lat: 43.18; Long: -77.8
2484,,,Springwater,NY,14560,Livingston County,Lat: 42.68; Long: -77.57
2485,,,Stanley,NY,14561,Ontario County,Lat: 42.82; Long: -77.12
2486,,,Union Hill,NY,14563,Wayne County,Lat: 43.22; Long: -77.44
2487,,,Victor,NY,14564,Ontario County,Lat: 42.98; Long: -77.41
2488,,,Walworth,NY,14568,Wayne County,Lat: 43.14; Long: -77.27
2489,,,Warsaw,NY,14569,Wyoming County,Lat: 42.74; Long: -78.14
2490,,,Waterport,NY,14571,Orleans County,Lat: 43.33; Long: -78.24
2491,,,Wayland,NY,14572,Steuben County,Lat: 42.56; Long: -77.59
